ID,SKU,Name,Manufacturer,Current Category,Suggested Category,Reason,Requires FFL
"123937","4WH-1-SBR-R","1791 4 WAY IWB/OWB SIGN BRN RH SZ 1","1791 Gunleather","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153933","AAC17-22G3MOD","ADV ARMS CONV KIT AAC17-22G3MOD","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153934","AAC17-22G3MOD-CA","ADV ARMS CONV KIT AAC17-22G3MOD-CA","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153935","AAC17-22G5MOD","ADV ARMS CONV KIT AAC17-22G5MOD","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153936","AAC17-22G5MOD-CA","ADV ARMS CONV KIT AAC17-22G5MOD-CA","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153937","AAC19-23G3MOD","ADV ARMS CONV KIT AAC19-23G3MOD","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153938","AAC19-23G3MOD-CA","ADV ARMS CONV KIT AAC19-23G3MOD-CA","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153939","AAC19-23G5MOD","ADV ARMS CONV KIT AAC19-23G5MOD","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153940","AAC19-23G5MOD-CA","ADV ARMS CONV KIT AAC19-23G5MOD-CA","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153944","AACG19-23G4","ADV ARMS CONV KIT FOR LE19-23 G4/BAG","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153943","AACG19-23G3","ADV ARMS CONV KIT FOR LE19-23 W/BAG","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"153942","AAC1XD940-4","ADV ARMS CONV KIT XD940-4 W/BAG","Advantage Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"124135","AAXTB1722","ADV ARMS THRDD BARREL FOR GLK 17/22","Advantage Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"124136","AAXTB1923","ADV ARMS THRDD BARREL FOR GLK 19/23","Advantage Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154198","ADVA5102346","ADV TECH AK X1 PISTOL GRIP BLK","ATI Outdoors","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154231","ADVMAR3000","ADV TECH FIBERFORCE MARLIN STOCK","ATI Outdoors","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154229","ADVFPG0100","ADV TECH FOREND PISTOL GRIP BLK","ATI Outdoors","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154237","ADVSKS3000","ADV TECH SKS FIBERFORCE STOCK","ATI Outdoors","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154236","ADVSKS0300","ADV TECH SKS MONTE CARLO STOCK","ATI Outdoors","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"125197","APRH103073C","AERO SOLUS BARREL NUT WRENCH","Aero Precision","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184239","RSR-AGE417S-G5-BLK-1758132271817","AGENCY 417 SNGL COMP FOR GLK GEN5 BL","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"183410","RSR-AGE417S-G5-BLK-1758067477896","AGENCY 417 SNGL COMP FOR GLK GEN5 BL","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"183504","RSR-AGE417S-G5-BLK-1758074673520","AGENCY 417 SNGL COMP FOR GLK GEN5 BL","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"184231","RSR-AGE10044-1758132269657","AGENCY CLASSIFIED 223WYLDE 16"" 30RD","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
